"133",308404,"61 Islington Street Dunedin"
"134",308405,"63 Islington Street Dunedin"
"135",308406,"65 Islington Street Dunedin"
"136",308407,"71 Islington Street Dunedin"
"137",308408,"73 Islington Street Dunedin"
"138",308409,"43 Maybank Street Dunedin"
"139",308410,"84 Blacks Road Dunedin"
"140",308411,NA
"141",308412,"80 Blacks Road Dunedin"
"142",308413,"76 Blacks Road Dunedin"
"143",308414,"72 Blacks Road Dunedin"
"144",308415,"68 Blacks Road Dunedin"
"145",308416,"66 Blacks Road Dunedin"
"146",308417,"62 Blacks Road Dunedin"
"147",308418,"58 Blacks Road Dunedin"
"148",308419,"56 Blacks Road Dunedin"
"149",308420,"54 Blacks Road Dunedin"
"150",308421,"52 Blacks Road Dunedin"
"151",308422,"50 Blacks Road Dunedin"
"152",308423,"48 Blacks Road Dunedin"
"153",308424,"46 Blacks Road Dunedin"
"154",308425,"42 Blacks Road Dunedin"
"155",308426,"40 Blacks Road Dunedin"
"156",308427,"38 Blacks Road Dunedin"
"157",308428,"34 Blacks Road Dunedin"
"158",308429,"32 Blacks Road Dunedin"
"159",308430,"26 Blacks Road Dunedin"
"160",308431,"24 Blacks Road Dunedin"
"161",308432,"22 Blacks Road Dunedin"
"162",308433,"18 Blacks Road Dunedin"
"163",308434,"14 Blacks Road Dunedin"
"164",308435,"12 Blacks Road Dunedin"
"165",308436,"10 Blacks Road Dunedin"
"166",308437,"8 Blacks Road Dunedin"
"167",308438,"178 North Road Dunedin"
"168",308440,"172 North Road Dunedin"
"169",308441,"3 Mechanic Street Dunedin"
"170",308442,"5 Mechanic Street Dunedin"
"171",308443,"7 Mechanic Street Dunedin"
"172",308444,"11 Mechanic Street Dunedin"
"173",308445,"13 Mechanic Street Dunedin"
"174",308446,"15 Mechanic Street Dunedin"
"175",308447,"17 Mechanic Street Dunedin"
"176",308448,"19 Mechanic Street Dunedin"
"177",308449,"23 Mechanic Street Dunedin"
"178",308450,"25 Mechanic Street Dunedin"
"179",308451,"27 Mechanic Street Dunedin"
"180",308452,"31 Mechanic Street Dunedin"
"181",308453,"33 Mechanic Street Dunedin"
"182",308454,"35 Mechanic Street Dunedin"
"183",308455,"37 Mechanic Street Dunedin"
"184",308456,"41 Mechanic Street Dunedin"
"185",308457,"45 Mechanic Street Dunedin"
"186",308458,"47 Mechanic Street Dunedin"
"187",308459,"49 Mechanic Street Dunedin"
"188",308460,"51 Mechanic Street Dunedin"
"189",308461,"53 Mechanic Street Dunedin"
"190",308462,"57 Mechanic Street Dunedin"
"191",308463,"59 Mechanic Street Dunedin"
"192",308464,"61 Mechanic Street Dunedin"
"193",308465,"65 Mechanic Street Dunedin"
"194",308466,"11 Grey Street Dunedin"
"195",308467,"9 Grey Street Dunedin"
"196",308468,"19 Balfour Street Dunedin"
"197",308469,"29 Grey Street Dunedin"
"198",308470,"46 James Street Dunedin"
"199",308471,"44 James Street Dunedin"
"200",308472,"42 James Street Dunedin"
"201",308473,"38 James Street Dunedin"
"202",308474,"36 James Street Dunedin"
"203",308475,"34 James Street Dunedin"
"204",308476,"30 James Street Dunedin"
"205",308477,"28 James Street Dunedin"
"206",308478,"26 James Street Dunedin"
"207",308479,"24 James Street Dunedin"
"208",308481,"22 Royston Street Dunedin"
"209",308482,"20 Royston Street Dunedin"
"210",308483,"18 Royston Street Dunedin"
"211",308484,"16 Royston Street Dunedin"
"212",308485,"14 Royston Street Dunedin"
"213",308486,"12 Royston Street Dunedin"
"214",308487,"10 Royston Street Dunedin"
"215",308488,"8 Royston Street Dunedin"
"216",308489,"2 Royston Street Dunedin"
"217",308490,"33 Blacks Road Dunedin"
"218",308491,"21 Marquis Street Dunedin"
"219",308492,"24 Marquis Street Dunedin"
"220",308493,"22 Marquis Street Dunedin"
"221",308494,"18 Marquis Street Dunedin"
"222",308495,"16 Marquis Street Dunedin"
"223",308496,"12 Marquis Street Dunedin"
"224",308497,"10 Marquis Street Dunedin"
"225",308498,"8 Marquis Street Dunedin"
"226",308499,"6 Marquis Street Dunedin"
"227",308500,"37 Blacks Road Dunedin"
"228",308501,"16 Balfour Street Dunedin"
"229",308502,"12 Balfour Street Dunedin"
"230",308503,"8 Balfour Street Dunedin"
"231",308504,"6 Balfour Street Dunedin"
"232",308505,"2 Balfour Street Dunedin"
"233",308506,"57 Blacks Road Dunedin"
"234",308507,"61 Blacks Road Dunedin"
"235",308508,"59 Blacks Road Dunedin"
"236",308509,"59A Blacks Road Dunedin"
"237",308511,"65 Blacks Road Dunedin"
"238",308512,"1A Grey Street Dunedin"
"239",308513,"1B Grey Street Dunedin"
"240",308514,"21 Royston Street Dunedin"
"241",308515,"23 Royston Street Dunedin"
"242",308516,"25 Royston Street Dunedin"
"243",308517,"31 Royston Street Dunedin"
"244",308518,"6 James Street Dunedin"
"245",308519,"224 North Road Dunedin"
"246",308520,"222 North Road Dunedin"
"247",308521,"220 North Road Dunedin"
"248",308522,"216 North Road Dunedin"
"249",308523,"210 North Road Dunedin"
"250",308524,"206 North Road Dunedin"
"251",308525,"204 North Road Dunedin"
"252",308526,"202 North Road Dunedin"
"253",308527,"198 North Road Dunedin"
"254",308530,"190 North Road Dunedin"
"255",308531,"188 North Road Dunedin"
"256",308532,"182 North Road Dunedin"
