"24040",332117,"9 St Ronans Road RD 2 Dunedin 9077", "2/9 St Ronans Rd, Macandrew Bay, Dunedin 9077, New Zealand" "9/2 St Ronans Rd, Macandrew Bay, Dunedin 9077, New Zealand", -45.87749729999999 -45.8770769, 170.5802304 170.5788625
"24041",332119,"4 St Ronans Road RD 2 Dunedin 9077", "2/4 St Ronans Rd, Macandrew Bay, Dunedin 9077, New Zealand" "4/2 St Ronans Rd, Macandrew Bay, Dunedin 9077, New Zealand", -45.8773712 -45.8770769, 170.579385 170.5788625
"24042",332120,"2 St Ronans Road RD 2 Dunedin 9077", "2/2 St Ronans Rd, Macandrew Bay, Dunedin 9077, New Zealand", -45.8770769, 170.5788625
"24043",332121,"398 Portobello Road RD 2 Dunedin 9077", "2/398 Portobello Rd, Macandrew Bay, Dunedin 9077, New Zealand", -45.8777024, 170.5785024
"24044",332122,"G T and B A Wilkie Trust 396 Portobello Road RD 2 Dunedin 9077", , ,
"24045",332123,"394 Portobello Road RD 2 Dunedin 9077", "2/394 Portobello Rd, Macandrew Bay, Dunedin 9077, New Zealand", -45.87713550000001, 170.5780184
"24046",332124,"389 Portobello Road RD 2 Dunedin 9077", "2/389 Portobello Rd, Macandrew Bay, Dunedin 9077, New Zealand", -45.8785683, 170.576735
"24047",332125,"PO Box 2087 South Dunedin Dunedin 9044", "South Rd, Dunedin, New Zealand", -45.889451, 170.49536
"24048",332126,"PO Box 2087 South Dunedin Dunedin 9044", "South Rd, Dunedin, New Zealand", -45.889451, 170.49536
"24049",332127,"376 Portobello Road RD 2 Dunedin 9077", "2/376 Portobello Rd, Macandrew Bay, Dunedin 9077, New Zealand", -45.8797637, 170.5723287
"24050",332129,"PO Box 1325 Dunedin 9054", "211 High St, Dunedin, 9054, New Zealand", -45.87898060000001, 170.498268
"24051",332132,"338 Portobello Road RD 2 Dunedin 9077", "2/338 Portobello Rd, The Cove, Dunedin 9077, New Zealand", -45.8796936, 170.5623381
"24052",332133,"Burborough Family Trust 340 Portobello Road RD 2 Dunedin 9077", , ,
"24053",332134,"341 Portobello Road RD 2 Dunedin 9077", "2/341 Portobello Rd, The Cove, Dunedin 9077, New Zealand", -45.8797337, 170.5634354
"24054",332135,"620 Highgate Dunedin 9010", "620 Highgate, Maori Hill, Dunedin 9010, New Zealand", -45.8581793, 170.5016658
"24055",332136,"343 Portobello Road RD 2 Dunedin 9077", "2/343 Portobello Rd, The Cove, Dunedin 9077, New Zealand", -45.8798274, 170.5639351
"24056",332137,"346 Portobello Road RD 2 Dunedin 9077", "2/346 Portobello Rd, The Cove, Dunedin 9077, New Zealand", -45.8797426, 170.564548
"24057",332139,"335 Portobello Road RD 2 Dunedin 9077", "2/335 Portobello Rd, The Cove, Dunedin 9077, New Zealand", -45.88007169999999, 170.5618047
"24058",332140,"Anita Chan Trust &ampN S Harraway Family Trust 332 Portobello Road RD 2 Dunedin 9077", , ,
"24059",332141,"The Challis Trust 333 Portobello Road RD 2 Dunedin 9077", , ,
"24060",332142,"330 Portobello Road RD 2 Dunedin 9077", "2/330 Portobello Rd, The Cove, Dunedin 9077, New Zealand", -45.8796531, 170.5604778
"24061",332144,"307 Portobello Road RD 2 Dunedin 9077", "2/307 Portobello Rd, The Cove, Dunedin 9077, New Zealand", -45.88003990000001, 170.5556056
"24062",332145,"310 Portobello Road RD 2 Dunedin 9077", "2/310 Portobello Rd, The Cove, Dunedin 9077, New Zealand", -45.8802209, 170.5565495
"24063",332146,"311 Portobello Road RD 2 Dunedin 9077", "2/311 Portobello Rd, The Cove, Dunedin 9077, New Zealand", -45.8807345, 170.5555902
"24064",332147,"16 Hinau Street Ravensbourne Dunedin 9022", "16 Hinau St, Ravensbourne, Dunedin 9022, New Zealand", -45.86519819999999, 170.5456351
"24065",332148,"6B Main Road Fairfield Dunedin 9018", "6B Main Rd, Fairfield, Dunedin 9018, New Zealand", -45.8965441, 170.4021675
"24066",332149,"25A Irvine Road RD 2 Dunedin 9077", "2/25A Irvine Rd, The Cove, Dunedin 9077, New Zealand", -45.8801145, 170.5535855
"24067",332150,"A M and L B Georgeson Trust 45 Irvine Road RD 2 Dunedin 9077", , ,
"24068",332151,NA, "335 Portobello Rd, The Cove, Dunedin 9077, New Zealand", -45.88007169999999, 170.5618047
"24069",332152,"A B Knox Trust 297 Portobello Road RD 2 Dunedin 9077", , ,
"24070",332153,"297 Portobello Road RD 2 Dunedin 9077", "2/297 Portobello Rd, The Cove, Dunedin 9077, New Zealand", -45.8799061, 170.5534987
"24071",332154,"9 Proctors Road RD 2 Dunedin 9077", "2/9 Proctors Rd, The Cove, Dunedin 9077, New Zealand", -45.8797384, 170.5520464
"24072",332155,"277 Rattray Street Dunedin 9016", "277 Rattray St, Dunedin, 9016, New Zealand", -45.8750236, 170.4979838
"24073",332156,"5 Proctors Road RD 2 Dunedin 9077", "2/5 Proctors Rd, The Cove, Dunedin 9077, New Zealand", -45.8798323, 170.5516475
"24074",332157,"I M and C A Gold Family Trust 3 Proctors Road RD 2 Dunedin 9077", , ,
"24075",332158,"1 Proctors Road RD 2 Dunedin 9077", "2/1 Proctors Rd, The Cove, Dunedin 9077, New Zealand", -45.8799934, 170.5508423
"24076",332159,"The Alan and Jillian Burnard Family Trust 284 Portobello Road RD 2 Dunedin 9077", , ,
"24077",332160,"1 Irvine Road RD 2 Dunedin 9077", "1/2 Irvine Rd, The Cove, Dunedin 9077, New Zealand" "2/1 Irvine Rd, The Cove, Dunedin 9077, New Zealand", -45.8803188 -45.880316, 170.5490367 170.5501126
"24078",332161,"28 Irvine Road RD 2 Dunedin 9077", "2/28 Irvine Rd, The Cove, Dunedin 9077, New Zealand" "28/2 Irvine Rd, The Cove, Dunedin 9077, New Zealand", -45.8807217 -45.8803188, 170.5517536 170.5490367
"24079",332162,"PO Box 1386 Dunedin 9054", "211 High St, Dunedin, 9054, New Zealand", -45.87898060000001, 170.498268
"24080",332163,"25 Irvine Road RD 2 Dunedin 9077", "25/2 Irvine Rd, The Cove, Dunedin 9077, New Zealand" "2/25 Irvine Rd, The Cove, Dunedin 9077, New Zealand", -45.8803188 -45.8802262, 170.5490367 170.5523323
"24081",332164,"27 Irvine Road RD 2 Dunedin 9077", "2/27 Irvine Rd, The Cove, Dunedin 9077, New Zealand" "27/2 Irvine Rd, The Cove, Dunedin 9077, New Zealand", -45.8806652 -45.8803188, 170.5523448 170.5490367
"24082",332165,"P J Cox Family Trust 31 Irvine Road RD 2 Dunedin 9077", , ,
"24083",332166,"33 Irvine Road RD 2 Dunedin 9077", "2/33 Irvine Rd, The Cove, Dunedin 9077, New Zealand", -45.8813044, 170.55201
"24084",332167,NA, "335 Portobello Rd, The Cove, Dunedin 9077, New Zealand", -45.88007169999999, 170.5618047
"24085",332168,"39 Irvine Road RD 2 Dunedin 9077", "2/39 Irvine Rd, The Cove, Dunedin 9077, New Zealand", -45.88175320000001, 170.5523177
"24086",332169,"41 Irvine Road RD 2 Dunedin 9077", "2/41 Irvine Rd, The Cove, Dunedin 9077, New Zealand", -45.88192979999999, 170.5523567
"24087",332170,"43 Irvine Road RD 2 Dunedin 9077", "43/2 Irvine Rd, The Cove, Dunedin 9077, New Zealand" "2/43 Irvine Rd, The Cove, Dunedin 9077, New Zealand", -45.8803188 -45.8821371, 170.5490367 170.5523138
"24088",332171,"47 Irvine Road RD 2 Dunedin 9077", "2/47 Irvine Rd, The Cove, Dunedin 9077, New Zealand", -45.88255059999999, 170.5524461
"24089",332172,"51 Irvine Road RD 2 Dunedin 9077", "2/51 Irvine Rd, The Cove, Dunedin 9077, New Zealand", -45.8824879, 170.551725
"24090",332174,"53 Irvine Road RD 2 Dunedin 9077", "2/53 Irvine Rd, The Cove, Dunedin 9077, New Zealand" "53/2 Irvine Rd, The Cove, Dunedin 9077, New Zealand", -45.8823853 -45.8803188, 170.5512368 170.5490367
"24091",332175,"57 Irvine Road RD 2 Dunedin 9077", "2/57 Irvine Rd, The Cove, Dunedin 9077, New Zealand", -45.8824569, 170.5508852
"24092",332176,"61 Irvine Road RD 2 Dunedin 9077", "2/61 Irvine Rd, The Cove, Dunedin 9077, New Zealand" "61/2 Irvine Rd, The Cove, Dunedin 9077, New Zealand", -45.882323 -45.8803188, 170.5505407 170.5490367
