"31971",342097,"12 Queen Street Mosgiel","18 Windsor Place Mosgiel 9024", "12 Queen St, Fairfield, Mosgiel 9024, New Zealand", -45.884851, 170.3503165
"31972",342098,"10A Queen Street Mosgiel","10A Queen Street Mosgiel 9024", "10A Queen St, Fairfield, Mosgiel 9024, New Zealand", -45.8847202, 170.3503028
"31973",342099,"10B Queen Street Mosgiel","10B Queen Street Mosgiel 9024", "10B Queen St, Fairfield, Mosgiel 9024, New Zealand", -45.8847461, 170.3501977
"31974",342100,"15B Argyle Street Mosgiel","15B Argyle Street Mosgiel 9024", "15B Argyle St, Fairfield, Mosgiel 9024, New Zealand", -45.8847817, 170.3500853
"31975",342101,"15A Argyle Street Mosgiel","80 Townleys Road RD 1 Dunedin 9076", "15A Argyle St, Fairfield, Mosgiel 9024, New Zealand", -45.8848024, 170.349978
"31976",342102,"8B Queen Street Mosgiel","8B Queen Street Mosgiel 9024", "8B Queen St, Fairfield, Mosgiel 9024, New Zealand", -45.8845918, 170.3501723
"31977",342103,"8A Queen Street Mosgiel","8A Queen Street Mosgiel 9024", "8A Queen St, Fairfield, Mosgiel 9024, New Zealand", -45.8845243, 170.3501225
"31978",342104,"6 Queen Street Mosgiel","6 Queen Street Mosgiel 9024", "6 Queen St, Fairfield, Mosgiel 9024, New Zealand", -45.8843588, 170.3500843
"31979",342105,"4 Queen Street Mosgiel","4 Queen Street Mosgiel 9024", "4 Queen St, Fairfield, Mosgiel 9024, New Zealand", -45.8842432, 170.3499699
"31980",342106,"2 Queen Street Mosgiel","2 Queen Street Mosgiel 9024", "2 Queen St, Fairfield, Mosgiel 9024, New Zealand", -45.8840642, 170.349876
"31981",342107,"11 Bruce Street Mosgiel","11 Bruce Street Mosgiel 9024", "11 Bruce St, Fairfield, Mosgiel 9024, New Zealand", -45.8841364, 170.3495876
"31982",342108,"21 Argyle Street Mosgiel","21 Argyle Street Mosgiel 9024", "21 Argyle St, Fairfield, Mosgiel 9024, New Zealand", -45.8843013, 170.3496744
"31983",342109,"19 Argyle Street Mosgiel","19 Argyle Street Mosgiel 9024", "19 Argyle St, Fairfield, Mosgiel 9024, New Zealand", -45.8844753, 170.3497975
"31984",342110,"17B Argyle Street Mosgiel","17B Argyle Street Mosgiel 9024", "17B Argyle St, Fairfield, Mosgiel 9024, New Zealand", -45.8845831, 170.3498911
"31985",342111,"17A Argyle Street Mosgiel","729 Brighton Road Ocean View Dunedin 9035", "17A Argyle St, Fairfield, Mosgiel 9024, New Zealand", -45.884658, 170.349944
"31986",342112,"11 Argyle Street Mosgiel","11 Argyle Street Mosgiel 9024", "11 Argyle St, Fairfield, Mosgiel 9024, New Zealand", -45.8851344, 170.3502258
"31987",342113,"9 Argyle Street Mosgiel","9 Argyle Street Mosgiel 9024", "9 Argyle St, Fairfield, Mosgiel 9024, New Zealand", -45.88531589999999, 170.3503187
"31988",342114,"4 Argyle Street Mosgiel","4 Argyle Street Mosgiel 9024", "4 Argyle St, Fairfield, Mosgiel 9024, New Zealand", -45.88599, 170.3500906
"31989",342115,"6 Argyle Street Mosgiel","6 Argyle Street Mosgiel 9024", "6 Argyle St, Fairfield, Mosgiel 9024, New Zealand", -45.8858628, 170.3500066
"31990",342116,"8 Argyle Street Mosgiel","8 Argyle Street Mosgiel 9024", "8 Argyle St, Fairfield, Mosgiel 9024, New Zealand", -45.8857096, 170.3499185
"31991",342117,"10 Argyle Street Mosgiel","10 Argyle Street Mosgiel 9024", "10 Argyle St, Fairfield, Mosgiel 9024, New Zealand", -45.8855351, 170.3499021
"31992",342118,"12A Argyle Street Mosgiel","12A Argyle Street Mosgiel 9024", "12A Argyle St, Fairfield, Mosgiel 9024, New Zealand", -45.8854091, 170.3497624
"31993",342119,"12B Argyle Street Mosgiel","12B Argyle Street Mosgiel 9024", "12B Argyle St, Fairfield, Mosgiel 9024, New Zealand", -45.88543300000001, 170.3496845
"31994",342120,"14 Argyle Street Mosgiel","14 Argyle Street Mosgiel 9024", "14 Argyle St, Fairfield, Mosgiel 9024, New Zealand", -45.8852587, 170.3497302
"31995",342121,"16 Argyle Street Mosgiel","16 Argyle Street Mosgiel 9024", "16 Argyle St, Fairfield, Mosgiel 9024, New Zealand", -45.8851671, 170.3495734
"31996",342122,"18 Argyle Street Mosgiel","Horsehoof Station 1341 Lee Stream-Outram Road RD 2 Outram 9074", "18 Argyle St, Fairfield, Mosgiel 9024, New Zealand", -45.8850007, 170.3495546
"31997",342123,"20 Argyle Street Mosgiel","Shrimpton Roulston Trust 141 Gladstone Road South Mosgiel 9024", "20 Argyle St, Fairfield, Mosgiel 9024, New Zealand", -45.8848733, 170.3494653
