"7483",313473,"8 Highgate Dunedin","8 Highgate Dunedin 9011"
"7484",313474,"1 Bellevue Street Dunedin","1 Bellevue Street Dunedin 9011"
"7485",313475,"3 Bellevue Street Dunedin","3 Bellevue Street Dunedin 9011"
"7486",313476,"3A Bellevue Street Dunedin","3A Bellevue Street Dunedin 9011"
"7487",313477,"5 Bellevue Street Dunedin","4 Short Street RD 2 Waitati 9085"
"7488",313478,"7 Bellevue Street Dunedin","7 Bellevue Street Dunedin 9011"
"7489",313479,"9 Bellevue Street Dunedin","9 Bellevue Street Dunedin 9011"
"7490",313480,"11 Bellevue Street Dunedin","11 Bellevue Street Dunedin 9011"
"7491",313481,"11A Bellevue Street Dunedin","11A Bellevue Street Dunedin 9011"
"7492",313482,"1 Hart Street Dunedin","1 Hart Street Dunedin 9011"
"7493",313483,"5 Hart Street Dunedin","5 Hart Street Dunedin 9011"
"7494",313484,"9 Hart Street Dunedin","9 Hart Street Dunedin 9011"
"7495",313485,"11 Hart Street Dunedin","12 Napier Street Dunedin 9011"
"7496",313486,"13 Hart Street Dunedin","The Seabreeze Family Trust PO Box 465 Oamaru 9444"
"7497",313487,"15 Hart Street Dunedin","15 Hart Street Dunedin 9011"
"7498",313488,"17 Hart Street Dunedin","17 Hart Street Dunedin 9011"
"7499",313489,"19 Hart Street Dunedin","Duffull Peterson Trust 19 Hart Street Dunedin 9011"
"7500",313490,"21 Hart Street Dunedin","21 Hart Street Dunedin 9011"
"7501",313491,"23 Hart Street Dunedin","23 Hart Street Dunedin 9011"
"7502",313492,"14 Alison Crescent Dunedin","14 Alison Crescent Dunedin 9011"
"7503",313493,"10 Alison Crescent Dunedin","10 Alison Crescent Dunedin 9011"
"7504",313494,"8 Alison Crescent Dunedin","A D and S P Reid Family Trust 8 Alison Crescent Dunedin 9011"
"7505",313495,"6 Alison Crescent Dunedin","6 Alison Crescent Dunedin 9011"
"7506",313496,"4 Alison Crescent Dunedin","4 Alison Crescent Dunedin 9011"
"7507",313497,"2 Michie Street Dunedin","2 Michie Street Dunedin 9011"
"7508",313498,"28 Bellevue Street Dunedin","28 Bellevue Street Dunedin 9011"
"7509",313499,"20 Bellevue Street Dunedin","20 Bellevue Street Dunedin 9011"
"7510",313500,"18 Bellevue Street Dunedin","S P and K L Croy Family Trust 18 Bellevue Street Dunedin 9011"
"7511",313501,"16 Bellevue Street Dunedin","Belleknowes Trust 32 Brooksdale Road RD 2 Tapanui 9587"
"7512",313502,"14 Bellevue Street Dunedin","14 Bellevue Street Dunedin 9011"
"7513",313503,"10 Bellevue Street Dunedin","10 Bellevue Street Dunedin 9011"
"7514",313504,"8 Bellevue Street Dunedin","8 Bellevue Street Dunedin 9011"
"7515",313505,"8A Bellevue Street Dunedin","8A Bellevue Street Dunedin 9011"
"7516",313506,"6 Bellevue Street Dunedin","Jock and Rachel Young Family Trust PO Box 5964 Moray Place Dunedin 9058"
"7517",313507,"4 Bellevue Street Dunedin","4 Bellevue Street Dunedin 9011"
"7518",313508,"2 Bellevue Street Dunedin","Hogwarts Trust 2 Bellevue Street Dunedin 9011"
"7519",313510,"315 Highgate Dunedin","2 Grater Street Dunedin 9010"
"7520",313511,"309 Highgate Dunedin","90 Kenmure Road Dunedin 9011"
"7521",313512,"287A Highgate Dunedin","45 Garden Place Dunedin 9010"
"7522",313513,"287B Highgate Dunedin","45 Garden Place Dunedin 9010"
"7523",313514,"287C Highgate Dunedin","45 Garden Place Dunedin 9010"
"7524",313515,"291D Highgate Dunedin","279 Highgate Dunedin 9010"
"7525",313516,"287E Highgate Dunedin","279 Highgate Dunedin 9010"
"7526",313517,"289F Highgate Dunedin","66 Passmore Crescent Dunedin 9010"
"7527",313518,"291G Highgate Dunedin","279 Highgate Dunedin 9010"
"7528",313519,"291H Highgate Dunedin","279 Highgate Dunedin 9010"
"7529",313520,"291J Highgate Dunedin","279 Highgate Dunedin 9010"
"7530",313521,"291K Highgate Dunedin","17 Aubrey Street South Akaroa 7520"
"7531",313523,"27 Ann Street Dunedin","27 Ann Street Dunedin 9010"
"7532",313524,"29 Ann Street Dunedin","19 Nottingham Crescent Dunedin 9012"
"7533",313525,"10 Hereford Street Dunedin","C/O Stewart Mahon PO Box 881 Queenstown 9348"
"7534",313526,"4 Hereford Street Dunedin","4 Hereford Street Dunedin 9010"
"7535",313527,"2 Hereford Street Dunedin","2 Hereford Street Dunedin 9010"
"7536",313528,"263 Highgate Dunedin","Calle Pio XII;414 Santiago de Surco Lima PERU"
"7537",313529,"265 Highgate Dunedin","R F and D K Blue Family Trust 1 King Edward Street Dunedin 9012"
"7538",313530,"269A Highgate Dunedin","Hou Family Trust 269A Highgate Dunedin 9010"
"7539",313531,"269B Highgate Dunedin","239 Larnach Road Dunedin 9013"
"7540",313532,"271 Highgate Dunedin","271 Highgate Dunedin 9010"
"7541",313533,"279 Highgate Dunedin","C/O Mitchell MacKersy Lawyers PO Box 12001 Maori Hill Dunedin 9043"
"7542",313537,"307 Highgate Dunedin","659 Peninsula Road Kelvin Heights Queenstown 9300"
"7543",313538,"311 Highgate Dunedin","PO Box 12046 Maori Hill Dunedin 9043"
"7544",313539,"1 Oates Street Dunedin",NA
"7545",313540,"3 Oates Street Dunedin","3 Oates Street Dunedin 9010"
"7546",313543,"11 Oates Street Dunedin","11 Oates Street Dunedin 9010"
"7547",313544,"15 Oates Street Dunedin","15 Oates Street Dunedin 9010"
"7548",313545,"32 Hereford Street Dunedin","342 High Street Dunedin 9016"
"7549",313546,"30 Hereford Street Dunedin","30 Hereford Street Dunedin 9010"
"7550",313547,"28 Hereford Street Dunedin","Donbrae Trust 99 Wairongoa Road RD 2 Mosgiel 9092"
